arm,pocket,receptor,mol_idx,score
critic_r0,complex_000001,complex_000363,0,-9.05979
critic_r0,complex_000001,complex_000363,1,-6.52334
critic_r0,complex_000001,complex_000363,2,-8.74511
critic_r0,complex_000001,complex_000363,3,-7.46872
critic_r0,complex_000001,complex_000363,4,-6.79765
critic_r0,complex_000001,complex_000363,5,-9.44454
critic_r0,complex_000001,complex_000363,6,-5.90206
critic_r0,complex_000001,complex_000363,7,-7.35703
critic_r0,complex_000001,complex_000363,8,-5.406
critic_r0,complex_000001,complex_000363,9,-8.18571
critic_r0,complex_000001,complex_000363,10,-10.05163
critic_r0,complex_000001,complex_000363,11,-8.78015
critic_r0,complex_000001,complex_000363,12,-9.28001
critic_r0,complex_000001,complex_000363,13,-8.48242
critic_r0,complex_000001,complex_000363,14,-6.91513
critic_r0,complex_000001,complex_000363,15,-9.79327
critic_r0,complex_000001,complex_000363,16,-8.28347
critic_r0,complex_000001,complex_000363,17,-7.72205
critic_r0,complex_000001,complex_000363,18,-8.39792
critic_r0,complex_000001,complex_000363,19,-7.3911
critic_r0,complex_000026,complex_000063,0,-6.27647
critic_r0,complex_000026,complex_000063,1,-8.77604
critic_r0,complex_000026,complex_000063,2,-7.15637
critic_r0,complex_000026,complex_000063,3,-7.71803
critic_r0,complex_000026,complex_000063,4,-4.82386
critic_r0,complex_000026,complex_000063,5,-7.60117
critic_r0,complex_000026,complex_000063,6,-8.77335
critic_r0,complex_000026,complex_000063,7,-7.02266
critic_r0,complex_000026,complex_000063,8,-6.92081
critic_r0,complex_000026,complex_000063,9,-8.05163
critic_r0,complex_000026,complex_000063,10,-10.21263
critic_r0,complex_000026,complex_000063,11,-7.25923
critic_r0,complex_000026,complex_000063,12,-6.17604
critic_r0,complex_000026,complex_000063,13,-8.28899
critic_r0,complex_000026,complex_000063,14,-7.76241
critic_r0,complex_000026,complex_000063,15,-7.11126
critic_r0,complex_000026,complex_000063,16,-8.03434
critic_r0,complex_000026,complex_000063,17,-5.05983
critic_r0,complex_000026,complex_000063,18,-5.36038
critic_r0,complex_000026,complex_000063,19,-8.61326
critic_r0,complex_000051,complex_000051,0,-7.85557
critic_r0,complex_000051,complex_000051,1,-9.64186
critic_r0,complex_000051,complex_000051,2,-9.35692
critic_r0,complex_000051,complex_000051,3,-8.11483
critic_r0,complex_000051,complex_000051,4,-8.62356
critic_r0,complex_000051,complex_000051,5,-8.25174
critic_r0,complex_000051,complex_000051,6,-8.39427
critic_r0,complex_000051,complex_000051,7,-7.01749
critic_r0,complex_000051,complex_000051,8,-8.10723
critic_r0,complex_000051,complex_000051,9,-8.26063
critic_r0,complex_000051,complex_000051,10,-5.33435
critic_r0,complex_000051,complex_000051,11,-6.54162
critic_r0,complex_000051,complex_000051,12,-8.73865
critic_r0,complex_000051,complex_000051,13,-8.29031
critic_r0,complex_000051,complex_000051,14,-5.30486
critic_r0,complex_000051,complex_000051,15,-5.0388
critic_r0,complex_000051,complex_000051,16,-8.83376
critic_r0,complex_000051,complex_000051,17,-6.78771
critic_r0,complex_000051,complex_000051,18,-4.57287
critic_r0,complex_000051,complex_000051,19,-9.07835
critic_r0,complex_000001,complex_000001,0,-7.70815
critic_r0,complex_000001,complex_000001,1,-6.04143
critic_r0,complex_000001,complex_000001,2,-6.62584
critic_r0,complex_000001,complex_000001,3,-7.54667
critic_r0,complex_000001,complex_000001,4,-6.4795
critic_r0,complex_000001,complex_000001,5,-8.71413
critic_r0,complex_000001,complex_000001,6,-5.50663
critic_r0,complex_000001,complex_000001,7,-7.73108
critic_r0,complex_000001,complex_000001,8,-4.46095
critic_r0,complex_000001,complex_000001,9,-10.14148
critic_r0,complex_000001,complex_000001,10,-8.99202
critic_r0,complex_000001,complex_000001,11,-8.42004
critic_r0,complex_000001,complex_000001,12,-8.93188
critic_r0,complex_000001,complex_000001,13,-7.34245
critic_r0,complex_000001,complex_000001,14,-6.72811
critic_r0,complex_000001,complex_000001,15,-8.28848
