arm,pocket,receptor,mol_idx,score
critic_r1,complex_000069,complex_000400,9,-9.1036
critic_r1,complex_000069,complex_000400,10,-8.22071
critic_r1,complex_000069,complex_000400,11,-9.02934
critic_r1,complex_000069,complex_000400,12,-6.50202
critic_r1,complex_000069,complex_000400,13,-9.10898
critic_r1,complex_000069,complex_000400,14,-9.43455
critic_r1,complex_000069,complex_000400,15,-9.90136
critic_r1,complex_000069,complex_000400,16,-7.37887
critic_r1,complex_000069,complex_000400,17,-9.22013
critic_r1,complex_000069,complex_000400,18,-7.488
critic_r1,complex_000069,complex_000400,19,-7.76341
critic_r1,complex_000069,complex_000170,0,-4.58262
critic_r1,complex_000069,complex_000170,1,-6.93248
critic_r1,complex_000069,complex_000170,2,-4.28948
critic_r1,complex_000069,complex_000170,3,-7.87273
critic_r1,complex_000069,complex_000170,4,-5.30828
critic_r1,complex_000069,complex_000170,5,-5.64021
critic_r1,complex_000069,complex_000170,6,-5.69914
critic_r1,complex_000069,complex_000170,7,-6.88687
critic_r1,complex_000069,complex_000170,8,-8.95882
critic_r1,complex_000069,complex_000170,9,-8.86226
critic_r1,complex_000069,complex_000170,10,-7.09125
critic_r1,complex_000069,complex_000170,11,-10.08122
critic_r1,complex_000069,complex_000170,12,-7.37529
critic_r1,complex_000069,complex_000170,13,-8.09852
critic_r1,complex_000069,complex_000170,14,-10.3049
critic_r1,complex_000069,complex_000170,15,-9.98605
critic_r1,complex_000069,complex_000170,16,-7.22161
critic_r1,complex_000069,complex_000170,17,-8.66257
critic_r1,complex_000069,complex_000170,18,-8.49239
critic_r1,complex_000069,complex_000170,19,-8.44809
critic_r1,complex_000085,complex_000400,0,-9.85558
critic_r1,complex_000085,complex_000400,1,-9.58329
critic_r1,complex_000085,complex_000400,2,-9.21107
critic_r1,complex_000085,complex_000400,3,-9.95608
critic_r1,complex_000085,complex_000400,4,-6.61926
critic_r1,complex_000085,complex_000400,5,-8.54868
critic_r1,complex_000085,complex_000400,6,-8.94994
critic_r1,complex_000085,complex_000400,7,-7.33484
critic_r1,complex_000085,complex_000400,8,-7.2136
critic_r1,complex_000085,complex_000400,9,-11.02429
critic_r1,complex_000085,complex_000400,10,-8.79924
critic_r1,complex_000085,complex_000400,11,-6.65691
critic_r1,complex_000085,complex_000400,12,-7.17605
critic_r1,complex_000085,complex_000400,13,-10.81989
critic_r1,complex_000085,complex_000400,14,-7.67007
critic_r1,complex_000085,complex_000400,15,-11.37327
critic_r1,complex_000085,complex_000400,16,-10.1749
critic_r1,complex_000085,complex_000400,17,-8.57908
critic_r1,complex_000085,complex_000400,18,-10.05541
critic_r1,complex_000085,complex_000400,19,-8.73737
critic_r1,complex_000085,complex_000085,0,-10.05094
critic_r1,complex_000085,complex_000085,1,-9.77082
critic_r1,complex_000085,complex_000085,2,-9.43501
critic_r1,complex_000085,complex_000085,3,-12.47686
critic_r1,complex_000085,complex_000085,4,-6.61679
critic_r1,complex_000085,complex_000085,5,-11.50951
critic_r1,complex_000085,complex_000085,6,-7.77908
critic_r1,complex_000085,complex_000085,7,-6.70114
critic_r1,complex_000085,complex_000085,8,-7.00912
critic_r1,complex_000085,complex_000085,9,-13.4056
critic_r1,complex_000085,complex_000085,10,-8.78839
critic_r1,complex_000085,complex_000085,11,-6.4364
critic_r1,complex_000085,complex_000085,12,-6.82549
critic_r1,complex_000085,complex_000085,13,-10.2999
critic_r1,complex_000085,complex_000085,14,-8.07747
critic_r1,complex_000085,complex_000085,15,-12.5633
critic_r1,complex_000085,complex_000085,16,-10.24009
critic_r1,complex_000085,complex_000085,17,-8.07694
critic_r1,complex_000085,complex_000085,18,-10.33539
critic_r1,complex_000085,complex_000085,19,-9.73759
critic_r1,complex_000063,complex_000063,0,-6.98014
critic_r1,complex_000063,complex_000063,1,-4.47397
critic_r1,complex_000063,complex_000063,2,-9.48819
critic_r1,complex_000063,complex_000063,3,-6.04097
critic_r1,complex_000063,complex_000063,4,-6.84622
critic_r1,complex_000063,complex_000063,5,-9.88268
critic_r1,complex_000063,complex_000063,6,-6.1774
critic_r1,complex_000063,complex_000063,7,-8.20725
critic_r1,complex_000063,complex_000063,8,-6.83003
critic_r1,complex_000063,complex_000063,9,-6.93132
critic_r1,complex_000063,complex_000063,10,-7.93563
critic_r1,complex_000063,complex_000063,11,-5.57999
critic_r1,complex_000063,complex_000063,12,-8.80441
critic_r1,complex_000063,complex_000063,13,-7.30133
critic_r1,complex_000063,complex_000063,14,-7.74443
critic_r1,complex_000063,complex_000063,15,-5.56548
critic_r1,complex_000063,complex_000063,16,-6.80313
critic_r1,complex_000063,complex_000063,17,-7.32467
critic_r1,complex_000063,complex_000063,18,-7.70003
critic_r1,complex_000063,complex_000063,19,-6.98209
critic_r1,complex_000112,complex_000112,0,-6.98571
critic_r1,complex_000112,complex_000112,1,-7.36358
critic_r1,complex_000112,complex_000112,2,-6.61502
critic_r1,complex_000112,complex_000112,3,-8.00169
critic_r1,complex_000112,complex_000112,4,-7.48985
critic_r1,complex_000112,complex_000112,5,-7.34728
critic_r1,complex_000112,complex_000112,6,-7.28556
critic_r1,complex_000112,complex_000112,7,-5.8568
critic_r1,complex_000112,complex_000112,8,-7.52595
critic_r1,complex_000112,complex_000112,9,-6.56228
critic_r1,complex_000112,complex_000112,10,-8.80181
critic_r1,complex_000112,complex_000112,11,-8.13631
critic_r1,complex_000112,complex_000112,12,-6.98896
critic_r1,complex_000112,complex_000112,13,-4.96843
critic_r1,complex_000112,complex_000112,14,-7.41637
critic_r1,complex_000112,complex_000112,15,-8.29499
critic_r1,complex_000112,complex_000112,16,-7.39452
critic_r1,complex_000112,complex_000112,17,-6.68592
critic_r1,complex_000112,complex_000112,18,-8.28725
critic_r1,complex_000112,complex_000112,19,-6.25953
critic_r1,complex_000112,complex_000473,0,-6.26351
critic_r1,complex_000112,complex_000473,1,-5.85387
critic_r1,complex_000112,complex_000473,2,-6.40936
critic_r1,complex_000112,complex_000473,3,-7.06259
critic_r1,complex_000112,complex_000473,4,-6.26682
critic_r1,complex_000112,complex_000473,5,-6.96534
critic_r1,complex_000112,complex_000473,6,-8.31205
critic_r1,complex_000112,complex_000473,7,-5.61859
critic_r1,complex_000112,complex_000473,8,-6.51771
critic_r1,complex_000112,complex_000473,9,-5.07111
critic_r1,complex_000112,complex_000473,10,-8.07346
critic_r1,complex_000112,complex_000473,11,-6.90471
critic_r1,complex_000112,complex_000473,12,-5.95531
critic_r1,complex_000112,complex_000473,13,-4.44117
critic_r1,complex_000112,complex_000473,14,-6.92266
critic_r1,complex_000112,complex_000473,15,-7.75208
critic_r1,complex_000112,complex_000473,16,-6.32659
critic_r1,complex_000112,complex_000473,17,-6.79766
critic_r1,complex_000112,complex_000473,18,-7.05935
critic_r1,complex_000112,complex_000473,19,-6.42088
critic_r1,complex_000085,complex_000026,0,-8.27315
critic_r1,complex_000085,complex_000026,1,-8.52275
critic_r1,complex_000085,complex_000026,2,-8.47143
critic_r1,complex_000085,complex_000026,3,-9.40046
critic_r1,complex_000085,complex_000026,4,-5.74407
critic_r1,complex_000085,complex_000026,5,-8.09851
critic_r1,complex_000085,complex_000026,6,-6.83767
critic_r1,complex_000085,complex_000026,7,-7.16371
critic_r1,complex_000085,complex_000026,8,-5.73097
