arm,pocket,receptor,mol_idx,score
critic,complex_000085,complex_000026,0,-7.79946
critic,complex_000085,complex_000026,1,-6.78855
critic,complex_000085,complex_000026,2,-6.00614
critic,complex_000085,complex_000026,3,-7.54673
critic,complex_000085,complex_000026,4,-9.02458
critic,complex_000085,complex_000026,5,-7.85248
critic,complex_000085,complex_000026,6,-8.43106
critic,complex_000085,complex_000026,7,-9.23764
critic,complex_000085,complex_000026,8,-7.27165
critic,complex_000085,complex_000026,9,-9.075
critic,complex_000085,complex_000026,10,-7.35948
critic,complex_000085,complex_000026,11,-7.29548
critic,complex_000085,complex_000026,12,-6.11471
critic,complex_000085,complex_000026,13,-7.37102
critic,complex_000085,complex_000026,14,-8.66359
critic,complex_000085,complex_000026,15,-6.18042
critic,complex_000085,complex_000026,16,-8.21627
critic,complex_000085,complex_000026,17,-7.52447
critic,complex_000085,complex_000026,18,-8.05772
critic,complex_000085,complex_000026,19,-7.18664
critic,complex_000112,complex_000179,0,-8.30744
critic,complex_000112,complex_000179,1,-10.2227
critic,complex_000112,complex_000179,2,-8.91704
critic,complex_000112,complex_000179,3,-8.6644
critic,complex_000112,complex_000179,4,-7.14107
