pocket,tanimoto,recall
complex_000069,0.75,0.9
complex_000069,0.5454545454545454,0.6
complex_000069,0.6363636363636364,0.7
complex_000069,0.7,0.7
complex_000069,0.6363636363636364,0.7
complex_000069,0.6,0.6
complex_000069,0.7,0.7
complex_000069,0.3,0.3
complex_000069,0.5714285714285714,0.8
complex_000069,0.6666666666666666,0.8
complex_000069,0.6,0.6
complex_000069,0.4,0.4
complex_000069,0.6666666666666666,0.8
complex_000069,0.4666666666666667,0.7
complex_000069,0.6666666666666666,0.8
complex_000069,0.5833333333333334,0.7
complex_000069,0.4117647058823529,0.7
complex_000069,0.7272727272727273,0.8
complex_000069,0.3,0.3
complex_000069,0.7272727272727273,0.8
complex_000069,0.42857142857142855,0.6
complex_000069,0.4666666666666667,0.7
complex_000069,0.5833333333333334,0.7
complex_000069,0.7272727272727273,0.8
complex_000069,0.7,0.7
complex_000069,0.8,0.8
complex_000069,0.6153846153846154,0.8
complex_000069,0.5,0.6
complex_000069,0.6,0.6
complex_000069,0.7,0.7
complex_000069,0.3333333333333333,0.5
complex_000069,0.7,0.7
complex_000069,0.45454545454545453,0.5
complex_000069,0.5,0.5
complex_000069,0.6153846153846154,0.8
complex_000069,0.75,0.9
complex_000069,0.4444444444444444,0.8
complex_000069,0.4,0.4
complex_000069,0.5,0.6
complex_000069,0.5454545454545454,0.6
complex_000069,0.5454545454545454,0.6
complex_000069,0.6153846153846154,0.8
complex_000069,0.7272727272727273,0.8
complex_000069,0.7272727272727273,0.8
complex_000069,0.46153846153846156,0.6
complex_000069,0.7272727272727273,0.8
complex_000069,0.7,0.7
complex_000069,0.7272727272727273,0.8
complex_000069,0.5833333333333334,0.7
complex_000069,0.35714285714285715,0.5
complex_000069,0.45454545454545453,0.5
complex_000085,0.3125,0.3333333333333333
complex_000085,0.2631578947368421,0.3333333333333333
complex_000085,0.3333333333333333,0.4666666666666667
complex_000085,0.34782608695652173,0.5333333333333333
complex_000085,0.4117647058823529,0.4666666666666667
complex_000085,0.3888888888888889,0.4666666666666667
complex_000085,0.25,0.26666666666666666
complex_000085,0.4,0.4
complex_000085,0.3333333333333333,0.4666666666666667
complex_000085,0.47058823529411764,0.5333333333333333
complex_000085,0.3125,0.3333333333333333
complex_000085,0.3888888888888889,0.4666666666666667
complex_000085,0.4,0.5333333333333333
complex_000085,0.3333333333333333,0.4
complex_000085,0.3684210526315789,0.4666666666666667
complex_000085,0.3888888888888889,0.4666666666666667
complex_000085,0.2777777777777778,0.3333333333333333
complex_000085,0.3333333333333333,0.4
complex_000085,0.4375,0.4666666666666667
complex_000085,0.47058823529411764,0.5333333333333333
complex_000085,0.4117647058823529,0.4666666666666667
complex_000085,0.2,0.2
complex_000085,0.3333333333333333,0.4
complex_000085,0.5,0.6666666666666666
complex_000085,0.375,0.6
complex_000085,0.625,0.6666666666666666
complex_000085,0.4,0.5333333333333333
complex_000085,0.3888888888888889,0.4666666666666667
complex_000085,0.3333333333333333,0.3333333333333333
complex_000085,0.3333333333333333,0.4
complex_000085,0.3888888888888889,0.4666666666666667
complex_000085,0.4375,0.4666666666666667
complex_000085,0.2777777777777778,0.3333333333333333
complex_000085,0.3125,0.3333333333333333
complex_000085,0.5294117647058824,0.6
complex_000085,0.5263157894736842,0.6666666666666666
complex_000085,0.47058823529411764,0.5333333333333333
complex_000085,0.35,0.4666666666666667
complex_000085,0.3,0.4
complex_000085,0.4444444444444444,0.5333333333333333
complex_000085,0.26666666666666666,0.26666666666666666
complex_000085,0.25,0.26666666666666666
complex_000085,0.4117647058823529,0.4666666666666667
complex_000085,0.4444444444444444,0.5333333333333333
complex_000085,0.25,0.26666666666666666
complex_000085,0.35294117647058826,0.4
complex_000085,0.47058823529411764,0.5333333333333333
complex_000085,0.5,0.5333333333333333
complex_000085,0.25,0.26666666666666666
complex_000085,0.25,0.26666666666666666
complex_000085,0.3888888888888889,0.4666666666666667
complex_000085,0.26666666666666666,0.26666666666666666
complex_000085,0.13333333333333333,0.13333333333333333
complex_000085,0.45454545454545453,0.6666666666666666
complex_000085,0.375,0.4
complex_000085,0.3157894736842105,0.4
complex_000085,0.3333333333333333,0.4
complex_000085,0.6111111111111112,0.7333333333333333
complex_000085,0.5789473684210527,0.7333333333333333
complex_000085,0.38095238095238093,0.5333333333333333
complex_000085,0.42857142857142855,0.6
complex_000085,0.5294117647058824,0.6
complex_000085,0.5,0.5333333333333333
complex_000085,0.5882352941176471,0.6666666666666666
complex_000085,0.5,0.6
complex_000085,0.375,0.4
complex_000085,0.2,0.2
complex_000085,0.24,0.4
complex_000085,0.1875,0.2
complex_000085,0.4375,0.4666666666666667
complex_000085,0.4,0.4
complex_000085,0.6666666666666666,0.8
complex_000085,0.1875,0.2
complex_000085,0.3125,0.3333333333333333
complex_000085,0.4,0.5333333333333333
complex_000085,0.25,0.4
complex_000085,0.35294117647058826,0.4
complex_000085,0.38095238095238093,0.5333333333333333
complex_000085,0.4375,0.4666666666666667
complex_000085,0.26666666666666666,0.26666666666666666
complex_000085,0.47058823529411764,0.5333333333333333
complex_000085,0.3181818181818182,0.4666666666666667
complex_000085,0.4444444444444444,0.5333333333333333
complex_000085,0.4,0.4
complex_000085,0.3333333333333333,0.4
complex_000085,0.3888888888888889,0.4666666666666667
complex_000085,0.4375,0.4666666666666667
complex_000085,0.35294117647058826,0.4
complex_000085,0.4375,0.4666666666666667
complex_000085,0.3333333333333333,0.4
complex_000085,0.5294117647058824,0.6
complex_000085,0.35,0.4666666666666667
complex_000085,0.3684210526315789,0.4666666666666667
complex_000085,0.4444444444444444,0.5333333333333333
complex_000085,0.5,0.5333333333333333
complex_000085,0.4,0.4
