pocket,displacement,tanimoto,recall,error
complex_000140,1.0,0.4,0.5714285714285714,
complex_000140,2.0,0.3157894736842105,0.42857142857142855,
complex_000140,2.0,0.29411764705882354,0.35714285714285715,
complex_000140,2.0,0.25,0.35714285714285715,
complex_000140,2.0,0.2857142857142857,0.42857142857142855,
complex_000140,2.0,0.47058823529411764,0.5714285714285714,
complex_000140,2.0,0.23809523809523808,0.35714285714285715,
complex_000140,2.0,0.4375,0.5,
complex_000140,2.0,0.4,0.5714285714285714,
complex_000140,2.0,0.4,0.5714285714285714,
complex_000140,2.0,0.2222222222222222,0.2857142857142857,
complex_000140,2.0,0.2631578947368421,0.35714285714285715,
complex_000140,2.0,0.3,0.42857142857142855,
complex_000140,3.0,0.18181818181818182,0.2857142857142857,
complex_000140,3.0,0.2,0.2857142857142857,
complex_000140,3.0,0.2631578947368421,0.35714285714285715,
complex_000140,3.0,0.3888888888888889,0.5,
complex_000140,3.0,0.3684210526315789,0.5,
complex_000140,3.0,0.3333333333333333,0.42857142857142855,
complex_000140,3.0,0.3157894736842105,0.42857142857142855,
complex_000140,3.0,0.16666666666666666,0.2857142857142857,
complex_000140,3.0,0.2,0.2857142857142857,
complex_000140,3.0,0.2857142857142857,0.42857142857142855,
complex_000140,3.0,0.2857142857142857,0.42857142857142855,
complex_000140,3.0,0.3157894736842105,0.42857142857142855,
complex_000141,0.5,0.8,0.8888888888888888,
complex_000141,0.5,0.8,0.8888888888888888,
complex_000141,0.5,0.9,1.0,
complex_000141,0.5,0.7272727272727273,0.8888888888888888,
complex_000141,0.5,0.6666666666666666,0.6666666666666666,
complex_000141,0.5,0.7,0.7777777777777778,
complex_000141,0.5,0.7,0.7777777777777778,
complex_000141,0.5,0.7272727272727273,0.8888888888888888,
complex_000141,0.5,0.7,0.7777777777777778,
complex_000141,0.5,0.6363636363636364,0.7777777777777778,
complex_000141,0.5,0.7,0.7777777777777778,
complex_000141,0.5,0.6363636363636364,0.7777777777777778,
complex_000141,1.0,0.6,0.6666666666666666,
complex_000141,1.0,0.6,0.6666666666666666,
complex_000141,1.0,0.7,0.7777777777777778,
complex_000141,1.0,0.7,0.7777777777777778,
complex_000141,1.0,0.5454545454545454,0.6666666666666666,
complex_000141,1.0,0.5555555555555556,0.5555555555555556,
complex_000141,1.0,0.5454545454545454,0.6666666666666666,
complex_000141,1.0,0.5,0.5555555555555556,
complex_000141,1.0,0.6,0.6666666666666666,
complex_000141,1.0,0.5,0.5555555555555556,
complex_000141,1.0,0.4444444444444444,0.4444444444444444,
complex_000141,1.0,0.6666666666666666,0.6666666666666666,
complex_000141,2.0,0.2727272727272727,0.3333333333333333,
complex_000141,2.0,0.5555555555555556,0.5555555555555556,
complex_000141,2.0,0.6363636363636364,0.7777777777777778,
complex_000141,2.0,0.6363636363636364,0.7777777777777778,
complex_000141,2.0,0.3,0.3333333333333333,
complex_000141,2.0,0.38461538461538464,0.5555555555555556,
complex_000141,2.0,0.36363636363636365,0.4444444444444444,
complex_000141,2.0,0.4,0.4444444444444444,
complex_000141,2.0,0.36363636363636365,0.4444444444444444,
complex_000141,2.0,0.45454545454545453,0.5555555555555556,
complex_000141,2.0,0.7,0.7777777777777778,
complex_000141,2.0,0.46153846153846156,0.6666666666666666,
complex_000141,3.0,0.38461538461538464,0.5555555555555556,
complex_000141,3.0,0.2222222222222222,0.2222222222222222,
complex_000141,3.0,0.5384615384615384,0.7777777777777778,
