pocket,tanimoto,recall,error
complex_000026,0.13333333333333333,0.13333333333333333,
complex_000026,0.3333333333333333,0.4666666666666667,
complex_000026,0.47058823529411764,0.5333333333333333,
complex_000026,0.42105263157894735,0.5333333333333333,
complex_000026,0.06666666666666667,0.06666666666666667,
complex_000026,0.2857142857142857,0.4,
complex_000026,0.38095238095238093,0.5333333333333333,
complex_000026,0.13333333333333333,0.13333333333333333,
complex_000026,0.25,0.26666666666666666,
complex_000026,0.16666666666666666,0.2,
complex_000026,0.29411764705882354,0.3333333333333333,
complex_000026,0.35,0.4666666666666667,
complex_000026,0.2222222222222222,0.26666666666666666,
complex_000026,0.0625,0.06666666666666667,
complex_000026,0.35294117647058826,0.4,
complex_000026,0.375,0.4,
complex_000026,0.2727272727272727,0.4,
complex_000026,0.3125,0.3333333333333333,
complex_000026,0.45,0.6,
complex_000026,0.2857142857142857,0.4,
complex_000026,0.4444444444444444,0.5333333333333333,
complex_000026,0.3333333333333333,0.4666666666666667,
complex_000026,0.25,0.26666666666666666,
complex_000026,0.23529411764705882,0.26666666666666666,
complex_000026,0.45,0.6,
complex_000026,0.30434782608695654,0.4666666666666667,
complex_000026,0.26666666666666666,0.26666666666666666,
complex_000026,0.375,0.4,
complex_000026,0.3333333333333333,0.4666666666666667,
complex_000026,0.23529411764705882,0.26666666666666666,
complex_000026,0.1875,0.2,
complex_000026,0.15789473684210525,0.2,
complex_000026,0.11764705882352941,0.13333333333333333,
complex_000026,0.25,0.26666666666666666,
complex_000026,0.375,0.4,
complex_000026,0.36363636363636365,0.5333333333333333,
complex_000026,0.17647058823529413,0.2,
complex_000026,0.3333333333333333,0.3333333333333333,
complex_000026,0.3333333333333333,0.4,
complex_000026,0.1875,0.2,
complex_000026,0.13333333333333333,0.13333333333333333,
complex_000026,0.3,0.4,
complex_000026,0.2777777777777778,0.3333333333333333,
complex_000026,0.42105263157894735,0.5333333333333333,
complex_000026,0.26666666666666666,0.26666666666666666,
complex_000026,0.47058823529411764,0.5333333333333333,
complex_000051,0.25,0.3333333333333333,
complex_000051,0.36666666666666664,0.5238095238095238,
complex_000051,0.27586206896551724,0.38095238095238093,
complex_000051,0.3870967741935484,0.5714285714285714,
complex_000051,0.2222222222222222,0.2857142857142857,
complex_000051,0.3333333333333333,0.42857142857142855,
complex_000051,0.38461538461538464,0.47619047619047616,
complex_000051,0.3,0.42857142857142855,
complex_000051,0.3103448275862069,0.42857142857142855,
complex_000051,0.41379310344827586,0.5714285714285714,
complex_000051,0.27586206896551724,0.38095238095238093,
complex_000051,0.3103448275862069,0.42857142857142855,
complex_000051,0.2727272727272727,0.42857142857142855,
complex_000051,0.25,0.3333333333333333,
complex_000051,0.23076923076923078,0.2857142857142857,
complex_000051,0.20833333333333334,0.23809523809523808,
complex_000051,0.3333333333333333,0.42857142857142855,
complex_000051,0.30434782608695654,0.3333333333333333,
complex_000051,0.32,0.38095238095238093,
complex_000051,0.13043478260869565,0.14285714285714285,
complex_000051,0.25,0.2857142857142857,
complex_000051,0.25925925925925924,0.3333333333333333,
complex_000051,0.13043478260869565,0.14285714285714285,
complex_000051,0.32142857142857145,0.42857142857142855,
complex_000051,0.22580645161290322,0.3333333333333333,
complex_000051,0.3076923076923077,0.38095238095238093,
complex_000051,0.2962962962962963,0.38095238095238093,
complex_000051,0.21739130434782608,0.23809523809523808,
complex_000051,0.21875,0.3333333333333333,
complex_000051,0.3333333333333333,0.47619047619047616,
