pocket,displacement,tanimoto,recall
complex_000112,3.0,0.3333333333333333,0.36363636363636365
complex_000112,3.0,0.5714285714285714,0.7272727272727273
complex_000112,3.0,0.6666666666666666,0.7272727272727273
complex_000112,3.0,0.5,0.5454545454545454
complex_000112,3.0,0.5,0.6363636363636364
complex_000112,3.0,0.6666666666666666,0.7272727272727273
complex_000112,3.0,0.2857142857142857,0.36363636363636365
complex_000112,3.0,0.5384615384615384,0.6363636363636364
complex_000112,3.0,0.21428571428571427,0.2727272727272727
complex_000112,3.0,0.35714285714285715,0.45454545454545453
complex_000112,3.0,0.9166666666666666,1.0
complex_000112,3.0,0.38461538461538464,0.45454545454545453
complex_000117,0.5,0.8888888888888888,1.0
complex_000117,0.5,1.0,1.0
complex_000117,0.5,0.7777777777777778,0.875
complex_000117,0.5,0.7272727272727273,1.0
complex_000117,0.5,0.8,1.0
complex_000117,0.5,0.8,1.0
complex_000117,0.5,0.8,1.0
complex_000117,0.5,0.6666666666666666,0.75
complex_000117,0.5,0.875,0.875
complex_000117,0.5,0.8888888888888888,1.0
complex_000117,0.5,0.875,0.875
complex_000117,0.5,0.8,1.0
complex_000117,1.0,0.6,0.75
complex_000117,1.0,1.0,1.0
complex_000117,1.0,0.7,0.875
complex_000117,1.0,0.7,0.875
complex_000117,1.0,0.6,0.75
complex_000117,1.0,0.7,0.875
complex_000117,1.0,0.7,0.875
complex_000117,1.0,0.4,0.5
complex_000117,1.0,0.6,0.75
complex_000117,1.0,0.875,0.875
complex_000117,1.0,0.7,0.875
complex_000117,1.0,0.75,0.75
complex_000117,2.0,0.2727272727272727,0.375
complex_000117,2.0,0.36363636363636365,0.5
complex_000117,2.0,0.2727272727272727,0.375
complex_000117,2.0,0.75,0.75
complex_000117,2.0,0.75,0.75
complex_000117,2.0,0.6666666666666666,0.75
complex_000117,2.0,0.75,0.75
complex_000117,2.0,0.5,0.625
complex_000117,2.0,0.2727272727272727,0.375
complex_000117,2.0,0.2727272727272727,0.375
complex_000117,2.0,0.7,0.875
complex_000117,2.0,0.5,0.625
complex_000117,3.0,0.15384615384615385,0.25
complex_000117,3.0,0.5,0.625
complex_000117,3.0,0.3076923076923077,0.5
complex_000117,3.0,0.7,0.875
complex_000117,3.0,0.15384615384615385,0.25
complex_000117,3.0,0.5555555555555556,0.625
complex_000117,3.0,0.6,0.75
complex_000117,3.0,0.7777777777777778,0.875
complex_000117,3.0,0.38461538461538464,0.625
