batch,slot,critic_lambda20,control_r0,critic_r0
603,0,0.0004703998565673828,0.0009384751319885254,0.0008911490440368652
611,0,0.0005300045013427734,0.0006389021873474121,0.0004577040672302246
614,0,2.0444393157958984e-05,0.00023126602172851562,0.00022149085998535156
616,0,0.0002186298370361328,0.00034558773040771484,0.0005489587783813477
619,0,0.0005145072937011719,0.0004317760467529297,0.0002238154411315918
619,1,0.00014352798461914062,0.00038367509841918945,0.00024580955505371094
621,0,0.0006328821182250977,0.0005728006362915039,0.00025790929794311523
621,1,0.0005612373352050781,0.0002868175506591797,0.0004526376724243164
622,0,0.0006104707717895508,0.0004620552062988281,0.0007904171943664551
623,0,1.728534698486328e-05,6.127357482910156e-05,5.2928924560546875e-05
626,0,0.012126564979553223,0.01768326759338379,0.02023494243621826
627,0,0.007097601890563965,0.010719656944274902,0.01068103313446045
632,0,0.0003561973571777344,0.00019669532775878906,0.0003129243850708008
634,0,0.0002435445785522461,0.00020766258239746094,0.0001659393310546875
636,0,0.00041294097900390625,0.0004686117172241211,0.00047451257705688477
638,0,0.0023963451385498047,0.0031239986419677734,0.0028818845748901367
639,0,9.608268737792969e-05,0.0001112818717956543,0.00010693073272705078
641,0,3.0994415283203125e-06,8.52346420288086e-06,4.827976226806641e-06
642,0,0.0002697110176086426,0.0003285408020019531,0.0003218650817871094
648,0,0.000531613826751709,0.00045883655548095703,0.0005027055740356445
648,1,0.004174530506134033,0.004529237747192383,0.0026886463165283203
649,0,7.486343383789062e-05,0.00021284818649291992,0.0001938343048095703
650,0,0.0070686936378479,0.003921985626220703,0.004614651203155518
651,0,0.0005260705947875977,0.001075148582458496,0.0013461112976074219
653,0,1.7821788787841797e-05,5.829334259033203e-05,3.17692756652832e-05
660,0,0.0001575946807861328,0.0006014704704284668,0.0008956193923950195
667,0,0.001238107681274414,0.0016412138938903809,0.0009086132049560547
668,0,0.0022776126861572266,0.004076361656188965,0.0035973787307739258
673,0,1.0132789611816406e-05,3.933906555175781e-06,8.702278137207031e-06
677,0,8.940696716308594e-06,7.152557373046875e-06,1.3232231140136719e-05
677,1,0.0017228126525878906,0.0011966824531555176,0.0010325908660888672
681,0,0.0003879070281982422,0.0005568861961364746,0.0005992650985717773
683,0,1.823902130126953e-05,3.236532211303711e-05,2.2411346435546875e-05
684,0,0.0023690462112426758,1.5139579772949219e-05,6.16312026977539e-05
686,0,0.0010576844215393066,0.002754390239715576,0.002925097942352295
686,1,0.0002211928367614746,0.0005141496658325195,0.00018137693405151367
688,0,0.004378199577331543,0.002430260181427002,0.0033349990844726562
689,0,2.7835369110107422e-05,3.3020973205566406e-05,4.118680953979492e-05
691,0,0.00040203332901000977,0.0002557039260864258,0.00039267539978027344
693,0,0.0008819699287414551,0.0016720294952392578,0.0011340975761413574
694,0,0.00034987926483154297,0.0028995871543884277,0.0039016008377075195
694,1,0.0003205537796020508,0.0004540085792541504,0.0007634758949279785
695,0,0.0029296875,0.004239082336425781,0.004030883312225342
697,0,0.0002435445785522461,0.00019115209579467773,0.0009780526161193848
701,0,0.0009125471115112305,0.0016082525253295898,0.001443028450012207
703,0,7.092952728271484e-05,8.034706115722656e-05,9.47713851928711e-05
710,0,9.906291961669922e-05,5.179643630981445e-05,8.392333984375e-05
712,0,0.00018090009689331055,0.00021886825561523438,0.00019174814224243164
