batch,slot,critic_r0,control_r0,critic_r1,control_r1,critic_r2,control_r2
335,0,0.0013756752014160156,0.0013494491577148438,0.0004870295524597168,0.0009944438934326172,0.0012099742889404297,0.0007589459419250488
336,0,0.007717013359069824,0.008911490440368652,0.008986473083496094,0.008314967155456543,0.008298099040985107,0.007916808128356934
338,0,0.0010836124420166016,0.0012401342391967773,0.0007326602935791016,0.000718235969543457,0.0004917383193969727,0.001080930233001709
340,0,0.00046324729919433594,0.0004583597183227539,0.0005993247032165527,0.00040435791015625,0.00039464235305786133,0.0006138086318969727
343,0,0.0013366341590881348,0.001881241798400879,0.004400312900543213,0.002027750015258789,0.0032411813735961914,0.002284407615661621
344,0,0.0003719329833984375,0.00014525651931762695,0.0004184246063232422,0.0001627802848815918,0.00029331445693969727,0.00020331144332885742
349,0,0.01649230718612671,0.017475247383117676,0.012398898601531982,0.018380045890808105,0.013675093650817871,0.017813801765441895
350,0,0.00018727779388427734,0.0005443692207336426,0.0006353855133056641,0.00028008222579956055,0.0008768439292907715,0.00034946203231811523
351,0,0.0008476972579956055,0.0014564990997314453,0.0012407302856445312,0.0009314417839050293,0.0011993646621704102,0.002721071243286133
353,0,0.016214609146118164,0.014468669891357422,0.011017799377441406,0.01241159439086914,0.010180234909057617,0.009631156921386719
354,0,0.002755403518676758,0.002486586570739746,0.0028933286666870117,0.002081155776977539,0.002053499221801758,0.0021241307258605957
355,0,0.0051850080490112305,0.004779815673828125,0.004429221153259277,0.0063811540603637695,0.004107356071472168,0.005283355712890625
355,1,0.0017356276512145996,0.0022394657135009766,0.0016463994979858398,0.0016020536422729492,0.001303553581237793,0.0020221471786499023
361,0,0.017003417015075684,0.017543256282806396,0.018810272216796875,0.016713500022888184,0.01950252056121826,0.018330752849578857
361,1,0.00046837329864501953,0.0003113746643066406,0.0005645155906677246,0.0008857250213623047,0.0006810426712036133,0.0005730390548706055
367,0,0.006547510623931885,0.006138801574707031,0.00696873664855957,0.006886839866638184,0.007038235664367676,0.0073119401931762695
369,0,0.0005849599838256836,0.0009330511093139648,0.0004056692123413086,0.0003222227096557617,0.0005914568901062012,0.000830531120300293
370,0,0.0002734661102294922,0.00023102760314941406,0.00014019012451171875,0.0003261566162109375,0.00033539533615112305,0.00025081634521484375
371,0,6.198883056640625e-05,0.00010752677917480469,7.575750350952148e-05,0.00016242265701293945,5.364418029785156e-05,9.417533874511719e-05
372,0,0.00047206878662109375,0.0004705190658569336,0.0005922317504882812,0.00048530101776123047,0.0006254911422729492,0.0004890561103820801
373,0,0.0057259202003479,0.007763981819152832,0.01077723503112793,0.006673753261566162,0.0042018890380859375,0.007188320159912109
377,0,0.0005862712860107422,0.0005763769149780273,0.0005400776863098145,0.0006402730941772461,0.000609278678894043,0.0005259513854980469
378,0,0.00011348724365234375,0.00020575523376464844,7.49826431274414e-05,6.401538848876953e-05,0.00015354156494140625,0.00015169382095336914
382,0,0.0007107257843017578,0.0016581416130065918,0.0007717609405517578,0.0006791353225708008,0.000492095947265625,0.0009152889251708984
382,1,5.233287811279297e-05,4.851818084716797e-05,5.6743621826171875e-05,5.4776668548583984e-05,5.137920379638672e-05,5.036592483520508e-05
383,0,0.0003952980041503906,0.0011165142059326172,0.0004100799560546875,0.000508725643157959,0.0007506608963012695,0.0007887482643127441
384,0,0.001400589942932129,0.0013670921325683594,0.001944899559020996,0.0018448829650878906,0.0011725425720214844,0.0015178322792053223
385,0,0.0013560652732849121,0.0014371275901794434,0.0017145872116088867,0.001686394214630127,0.0012998580932617188,0.0015375614166259766
387,0,0.00017499923706054688,0.00019240379333496094,0.00023221969604492188,0.00016057491302490234,0.00022923946380615234,0.00013339519500732422
390,0,0.0021919608116149902,0.0020911693572998047,0.0022927522659301758,0.0017936229705810547,0.0023164749145507812,0.0018790364265441895
391,0,0.012211263179779053,0.015667200088500977,0.014481067657470703,0.01493304967880249,0.014259099960327148,0.014252722263336182
394,0,0.0021182894706726074,0.0007653236389160156,0.0013135075569152832,0.0013884305953979492,0.0018157362937927246,0.002341032028198242
395,0,0.00024396181106567383,0.000247955322265625,0.0002073049545288086,0.00021791458129882812,0.00023049116134643555,0.00023114681243896484
404,0,0.0001640915870666504,0.00018012523651123047,0.00011354684829711914,0.0002192854881286621,8.231401443481445e-05,0.0001938939094543457
405,0,0.03709721565246582,0.039332032203674316,0.048805058002471924,0.03408128023147583,0.03141993284225464,0.041551828384399414
405,1,0.0001671314239501953,9.936094284057617e-05,0.00015366077423095703,0.00012803077697753906,0.0001437664031982422,0.00011742115020751953
406,0,0.0019911527633666992,0.002247154712677002,0.0014258623123168945,0.0021907687187194824,0.002054452896118164,0.0021027326583862305
416,0,0.0010701417922973633,0.0005350112915039062,0.000970005989074707,0.0004265904426574707,0.0010190010070800781,0.0005154013633728027
417,0,0.00011968612670898438,0.0006406903266906738,0.00023823976516723633,0.00013405084609985352,0.0001424551010131836,0.00013566017150878906
418,0,0.0016959905624389648,0.0020281076431274414,0.0016703009605407715,0.002283453941345215,0.0017253756523132324,0.0017732977867126465
419,0,2.1576881408691406e-05,0.00011199712753295898,0.0002377033233642578,7.456541061401367e-05,0.00021582841873168945,0.00018078088760375977
424,0,0.0008975863456726074,0.0007789134979248047,0.0008800625801086426,0.0007023811340332031,0.0008703470230102539,0.0008329153060913086
426,0,0.0007564425468444824,0.0007292628288269043,0.000716865062713623,0.0007228851318359375,0.0006694197654724121,0.0007914304733276367
429,0,0.000949859619140625,0.0011185407638549805,0.0006176233291625977,0.0007805228233337402,0.0006977319717407227,0.0009927153587341309
430,0,0.0046471357345581055,0.005188047885894775,0.004910171031951904,0.004861593246459961,0.004773974418640137,0.003990769386291504
431,0,0.0016824007034301758,0.0011841654777526855,0.003992736339569092,0.0031681060791015625,0.0022736787796020508,0.0026117563247680664
432,0,0.0008504390716552734,0.0007411837577819824,0.0008602738380432129,0.0007293820381164551,0.000680088996887207,0.0006936788558959961
435,0,0.0001278519630432129,0.00011861324310302734,0.0001958608627319336,0.000110626220703125,0.00018364191055297852,0.00015562772750854492
436,0,6.854534149169922e-05,4.935264587402344e-05,3.790855407714844e-05,0.00016874074935913086,9.047985076904297e-05,0.0001550912857055664
447,0,0.0008260011672973633,0.001289069652557373,0.0005791783332824707,0.0010799169540405273,0.0008131265640258789,0.0007905960083007812
449,0,0.0007261037826538086,0.0012943744659423828,0.0007367134094238281,0.000641167163848877,0.00141143798828125,0.0015454292297363281
451,0,0.009089112281799316,0.013622283935546875,0.012983918190002441,0.008617877960205078,0.010426878929138184,0.011309921741485596
451,1,0.005793333053588867,0.00799417495727539,0.006129205226898193,0.0070230960845947266,0.0072515010833740234,0.009506583213806152
453,0,0.0024633407592773438,0.0023039579391479492,0.0012160539627075195,0.0017906427383422852,0.002536296844482422,0.001725614070892334
454,0,0.0033873319625854492,0.0028960704803466797,0.003988385200500488,0.003423154354095459,0.0029860734939575195,0.003807544708251953
455,0,0.000986635684967041,0.0006127357482910156,0.00046253204345703125,0.0008437037467956543,0.0005182623863220215,0.0005589127540588379
456,0,0.00015747547149658203,0.00019890069961547852,0.00016444921493530273,0.00015914440155029297,0.0001761317253112793,0.0001569986343383789
457,0,0.00273740291595459,0.0025830864906311035,0.001508474349975586,0.0016629695892333984,0.0016235709190368652,0.001148223876953125
458,0,0.00024276971817016602,0.0006899833679199219,0.0006542205810546875,0.0007401704788208008,0.0004017949104309082,0.0006445646286010742
